75761:"{'glial cell differentiation (GO:0010001)', 'negative regulation of T cell receptor signaling pathway (GO:0050860)', 'positive regulation of endopeptidase activity (GO:0010950)', 'positive regulation of protein localization to cell surface (GO:2000010)', 'cellular response to interleukin-21 (GO:0098757)', 'cellular response to interleukin-7 (GO:0098761)', 'interleukin-7-mediated signaling pathway (GO:0038111)', 'positive regulation of interleukin-6 production (GO:0032755)', 'interleukin-2-mediated signaling pathway (GO:0038110)', 'N-glycan processing (GO:0006491)', 'cellular response to interleukin-15 (GO:0071350)', 'positive regulation of calcium ion transmembrane transport (GO:1904427)', 'positive regulation of cytokine secretion (GO:0050715)', 'interleukin-15-mediated signaling pathway (GO:0035723)', 'regulation of regulatory T cell differentiation (GO:0045589)', 'regulation of interferon-gamma-mediated signaling pathway (GO:0060334)', 'positive regulation of interleukin-6 secretion (GO:2000778)', 'cytoskeletal anchoring at plasma membrane (GO:0007016)', 'regulation of response to interferon-gamma (GO:0060330)', 'positive regulation of nitric oxide biosynthetic process (GO:0045429)', 'interleukin-21-mediated signaling pathway (GO:0038114)', 'negative regulation of cytoskeleton organization (GO:0051494)', 'regulation of metal ion transport (GO:0010959)', 'negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)', 'regulation of interleukin-8 secretion (GO:2000482)', 'T cell differentiation (GO:0030217)', 'cellular response to interleukin-2 (GO:0071352)', 'positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895)', 'chaperone-mediated protein complex assembly (GO:0051131)', 'regulation of T cell receptor signaling pathway (GO:0050856)'}"
137384:"{'Rho protein signal transduction (GO:0007266)', 'positive regulation of ubiquitin-protein transferase activity (GO:0051443)', 'exit from mitosis (GO:0010458)', 'positive regulation of myelination (GO:0031643)', 'protein depolymerization (GO:0051261)', 'methionine metabolic process (GO:0006555)', 'regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)', 'regulation of cell-substrate adhesion (GO:0010810)', 'positive regulation of locomotion (GO:0040017)', 'positive regulation of actin filament polymerization (GO:0030838)', 'regulation of viral release from host cell (GO:1902186)', 'positive regulation of NK T cell activation (GO:0051135)', 'positive regulation of protein polymerization (GO:0032273)', 'negative regulation of glial cell proliferation (GO:0060253)', 'activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)', 'positive regulation of supramolecular fiber organization (GO:1902905)', 'microtubule polymerization or depolymerization (GO:0031109)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)', 'regulation of skeletal muscle satellite cell proliferation (GO:0014842)', 'RNA biosynthetic process (GO:0032774)', 'regulation of actin filament polymerization (GO:0030833)', 'glomerulus vasculature development (GO:0072012)', 'protein neddylation (GO:0045116)', 'regulation of ubiquitin-protein transferase activity (GO:0051438)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'ventricular cardiac muscle cell development (GO:0055015)', 'microtubule depolymerization (GO:0007019)', 'protein localization to non-motile cilium (GO:0097499)', 'regulation of dendritic cell chemotaxis (GO:2000508)', 'regulation of NK T cell activation (GO:0051133)'}"
135194:"{'neuronal ion channel clustering (GO:0045161)', 'regulation of neuroblast proliferation (GO:1902692)', 'regulation of digestive system process (GO:0044058)', 'vocal learning (GO:0042297)', 'atrial cardiac muscle cell to AV node cell signaling (GO:0086026)', 'astrocyte development (GO:0014002)', 'regulation of T cell differentiation (GO:0045580)', 'regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)', 'cellular response to epinephrine stimulus (GO:0071872)', 'Schwann cell development (GO:0014044)', 'positive regulation of cardiac muscle contraction (GO:0060452)', 'negative regulation of neural precursor cell proliferation (GO:2000178)', 'regulation of alpha-beta T cell differentiation (GO:0046637)', 'regulation of attachment of spindle microtubules to kinetochore (GO:0051988)', 'potassium ion export (GO:0071435)', 'muscle tissue development (GO:0060537)', 'regulation of glial cell differentiation (GO:0045685)', 'adrenal gland development (GO:0030325)', 'negative regulation of glial cell differentiation (GO:0045686)', 'central nervous system development (GO:0007417)', 'regulation of natural killer cell activation (GO:0032814)', 'smooth muscle tissue development (GO:0048745)', 'complement activation, lectin pathway (GO:0001867)', 'imitative learning (GO:0098596)', 'negative regulation of oligodendrocyte differentiation (GO:0048715)', 'regulation of mitotic spindle checkpoint (GO:1903504)', 'positive regulation of striated muscle contraction (GO:0045989)', 'ventricular cardiac muscle cell membrane repolarization (GO:0099625)', 'peripheral nervous system axon ensheathment (GO:0032292)', 'response to epinephrine (GO:0071871)'}"
271641:"{'regulation of nervous system development (GO:0051960)', 'positive regulation of neuron apoptotic process (GO:0043525)', 'negative regulation of protein complex assembly (GO:0031333)', 'positive regulation of muscle cell differentiation (GO:0051149)', 'embryonic skeletal joint morphogenesis (GO:0060272)', 'central nervous system neuron differentiation (GO:0021953)', 'negative regulation of translation in response to stress (GO:0032055)', 'regulation of muscle cell differentiation (GO:0051147)', 'purine ribonucleoside monophosphate catabolic process (GO:0009169)', 'positive regulation of histone H3-K4 methylation (GO:0051571)', 'negative regulation of membrane potential (GO:0045837)', 'neuron projection extension (GO:1990138)', 'regulation of translational initiation in response to stress (GO:0043558)', 'axonal transport (GO:0098930)', 'morphogenesis of an endothelium (GO:0003159)', 'regulation of cell development (GO:0060284)', 'regulation of hormone secretion (GO:0046883)', 'plus-end-directed organelle transport along microtubule (GO:0072386)', 'mitochondrial ribosome assembly (GO:0061668)', 'regulation of cytokine production involved in immune response (GO:0002718)', 'positive regulation of megakaryocyte differentiation (GO:0045654)', 'positive regulation of histone methylation (GO:0031062)', 'dendrite extension (GO:0097484)', 'peroxisomal membrane transport (GO:0015919)', 'regulation of endothelial cell development (GO:1901550)', 'regulation of histone H3-K4 methylation (GO:0051569)', 'response to lead ion (GO:0010288)', 'regulation of cellular protein localization (GO:1903827)', 'astrocyte activation (GO:0048143)', 'positive regulation of neuron death (GO:1901216)'}"
75683:"{'positive regulation of bone mineralization (GO:0030501)', 'positive regulation of biomineral tissue development (GO:0070169)', 'bile acid secretion (GO:0032782)', 'endochondral bone morphogenesis (GO:0060350)', 'positive regulation of osteoblast proliferation (GO:0033690)', 'chondrocyte differentiation (GO:0002062)', 'endochondral ossification (GO:0001958)', 'positive regulation of nitric oxide metabolic process (GO:1904407)', 'regulation of macrophage apoptotic process (GO:2000109)', 'positive regulation of histone phosphorylation (GO:0033129)', 'regulation of monooxygenase activity (GO:0032768)', 'T-helper 17 cell lineage commitment (GO:0072540)', 'regulation of nitric-oxide synthase activity (GO:0050999)', 'regulation of osteoblast differentiation (GO:0045667)', 'regulation of establishment of endothelial barrier (GO:1903140)', 'cartilage development (GO:0051216)', 'positive regulation of reactive oxygen species biosynthetic process (GO:1903428)', 'positive regulation of interleukin-2 production (GO:0032743)', 'positive regulation of fever generation (GO:0031622)', 'regulation of nitric oxide biosynthetic process (GO:0045428)', 'positive regulation of nitric oxide biosynthetic process (GO:0045429)', 'astrocyte differentiation (GO:0048708)', 'positive regulation of osteoblast differentiation (GO:0045669)', 'citrulline metabolic process (GO:0000052)', 'regulation of endothelial cell development (GO:1901550)', 'corticosteroid receptor signaling pathway (GO:0031958)', 'positive regulation of ossification (GO:0045778)', 'positive regulation of icosanoid secretion (GO:0032305)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'cellular response to drug (GO:0035690)'}"
36285:"{'mannose metabolic process (GO:0006013)', 'response to misfolded protein (GO:0051788)', 'positive regulation of protein homooligomerization (GO:0032464)', 'positive regulation of nucleobase-containing compound transport (GO:0032241)', 'homocysteine metabolic process (GO:0050667)', ""regulation of mRNA 3'-end processing (GO:0031440)"", 'negative regulation of circadian rhythm (GO:0042754)', 'regulation of amyloid-beta clearance (GO:1900221)', 'chaperone-mediated protein transport (GO:0072321)', 'short-chain fatty acid catabolic process (GO:0019626)', 'positive regulation of mitotic sister chromatid separation (GO:1901970)', 'quaternary ammonium group transport (GO:0015697)', 'spinal cord dorsal/ventral patterning (GO:0021513)', 'positive regulation of RNA export from nucleus (GO:0046833)', 'positive regulation of mitotic metaphase/anaphase transition (GO:0045842)', 'regulation of amyloid fibril formation (GO:1905906)', 'amino-acid betaine transport (GO:0015838)', 'negative regulation of protein homooligomerization (GO:0032463)', 'myelin maintenance (GO:0043217)', ""positive regulation of mRNA 3'-end processing (GO:0031442)"", 'central nervous system myelination (GO:0022010)', 'short-chain fatty acid metabolic process (GO:0046459)', 'microglial cell activation (GO:0001774)', 'negative regulation of amyloid-beta formation (GO:1902430)', 'peptidyl-lysine dimethylation (GO:0018027)', 'protein deglycosylation (GO:0006517)', 'growth hormone secretion (GO:0030252)', 'carnitine transport (GO:0015879)', 'positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)', 'positive regulation of amyloid-beta formation (GO:1902004)'}"
218726:"{'myoblast differentiation (GO:0045445)', 'regulation of hormone biosynthetic process (GO:0046885)', 'regulation of cell junction assembly (GO:1901888)', 'establishment of endothelial intestinal barrier (GO:0090557)', 'regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)', 'phospholipid catabolic process (GO:0009395)', 'integrin activation (GO:0033622)', 'positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)', 'regulation of histone H3-K9 methylation (GO:0051570)', 'positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)', 'regulation of skeletal muscle cell differentiation (GO:2001014)', 'negative regulation of axon extension involved in axon guidance (GO:0048843)', 'regulation of retinoic acid receptor signaling pathway (GO:0048385)', 'alternative mRNA splicing, via spliceosome (GO:0000380)', 'positive regulation of histone H3-K9 methylation (GO:0051574)', 'pri-miRNA transcription from RNA polymerase II promoter (GO:0061614)', 'cell junction assembly (GO:0034329)', 'regulation of interferon-gamma secretion (GO:1902713)', 'negative regulation of response to cytokine stimulus (GO:0060761)', 'snRNA transcription from RNA polymerase III promoter (GO:0042796)', 'white fat cell differentiation (GO:0050872)', 'glycerolipid catabolic process (GO:0046503)', 'positive regulation of transcription from RNA polymerase III promoter (GO:0045945)', 'negative regulation of axon guidance (GO:1902668)', 'negative regulation of phosphoprotein phosphatase activity (GO:0032515)', 'regulation of bicellular tight junction assembly (GO:2000810)', 'negative regulation of interleukin-17 production (GO:0032700)', 'positive regulation of signal transduction by p53 class mediator (GO:1901798)', 'glycerophospholipid catabolic process (GO:0046475)', 'regulation of skeletal muscle tissue development (GO:0048641)'}"
34682:"{'ribosomal large subunit assembly (GO:0000027)', 'regulation of anion channel activity (GO:0010359)', 'ruffle organization (GO:0031529)', 'positive regulation of ubiquitin-protein transferase activity (GO:0051443)', 'positive regulation of cellular component movement (GO:0051272)', 'negative regulation of type I interferon-mediated signaling pathway (GO:0060339)', 'negative regulation of neurogenesis (GO:0050768)', 'negative regulation of neural precursor cell proliferation (GO:2000178)', 'negative regulation of membrane potential (GO:0045837)', 'positive regulation of locomotion (GO:0040017)', 'quaternary ammonium group transport (GO:0015697)', 'spinal cord dorsal/ventral patterning (GO:0021513)', 'cellular response to amino acid stimulus (GO:0071230)', 'negative regulation of cellular response to hypoxia (GO:1900038)', 'cell-cell junction maintenance (GO:0045217)', 'positive regulation of autophagy (GO:0010508)', 'mitochondrial ribosome assembly (GO:0061668)', 'astrocyte differentiation (GO:0048708)', 'limb development (GO:0060173)', 'citrulline metabolic process (GO:0000052)', 'positive regulation of synapse assembly (GO:0051965)', 'aromatic compound catabolic process (GO:0019439)', 'regulation of respiratory system process (GO:0044065)', 'cell junction maintenance (GO:0034331)', 'aminoglycan catabolic process (GO:0006026)', 'dosage compensation by inactivation of X chromosome (GO:0009048)', 'regulation of TOR signaling (GO:0032006)', 'sphingosine-1-phosphate signaling pathway (GO:0003376)', 'positive regulation of blood pressure (GO:0045777)', 'regulation of hydrogen peroxide metabolic process (GO:0010310)'}"
1766:"{'antibacterial humoral response (GO:0019731)', 'detection of calcium ion (GO:0005513)', 'antigen processing and presentation of endogenous peptide antigen (GO:0002483)', 'positive regulation of cellular component movement (GO:0051272)', 'cargo loading into vesicle (GO:0035459)', 'negative regulation of leukocyte apoptotic process (GO:2000107)', 'positive regulation of antigen processing and presentation (GO:0002579)', 'antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)', 'positive regulation of phosphoprotein phosphatase activity (GO:0032516)', 'regulation of cyclic nucleotide metabolic process (GO:0030799)', 'positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)', 'regulation of dendritic cell apoptotic process (GO:2000668)', 'membrane disruption in other organism (GO:0051673)', 'negative regulation of dendritic cell apoptotic process (GO:2000669)', 'cellular response to low-density lipoprotein particle stimulus (GO:0071404)', 'positive regulation of ryanodine-sensitive calcium-release channel activity (GO:0060316)', 'positive regulation of dendritic cell antigen processing and presentation (GO:0002606)', 'regulation of cell communication by electrical coupling (GO:0010649)', 'mucosal immune response (GO:0002385)', 'negative regulation of ATPase activity (GO:0032780)', 'positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)', 'microvillus assembly (GO:0030033)', 'regulation of dendritic cell antigen processing and presentation (GO:0002604)', 'antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)', 'regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)', 'microvillus organization (GO:0032528)', 'positive regulation of cellular protein catabolic process (GO:1903364)', 'response to interferon-beta (GO:0035456)', 'innate immune response in mucosa (GO:0002227)', 'immunological synapse formation (GO:0001771)'}"
216881:"{'myeloid cell development (GO:0061515)', 'epithelial tube morphogenesis (GO:0060562)', 'ATP hydrolysis coupled cation transmembrane transport (GO:0099132)', 'positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089)', 'regulation of AMPA receptor activity (GO:2000311)', 'positive regulation of aspartic-type peptidase activity (GO:1905247)', 'positive regulation of endothelial cell chemotaxis (GO:2001028)', 'photoreceptor cell development (GO:0042461)', 'glutamate catabolic process (GO:0006538)', 'regulation of low-density lipoprotein particle receptor biosynthetic process (GO:0045714)', 'cell communication by electrical coupling involved in cardiac conduction (GO:0086064)', 'regulation of cation channel activity (GO:2001257)', 'eye photoreceptor cell differentiation (GO:0001754)', 'positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902961)', 'entrainment of circadian clock by photoperiod (GO:0043153)', 'regulation of sodium ion transmembrane transporter activity (GO:2000649)', 'regulation of atrial cardiac muscle cell membrane depolarization (GO:0060371)', 'cardiac muscle cell contraction (GO:0086003)', 'photoreceptor cell differentiation (GO:0046530)', 'photoperiodism (GO:0009648)', 'positive regulation of sodium ion transport (GO:0010765)', 'neurotransmitter receptor transport, postsynaptic endosome to lysosome (GO:0098943)', 'regulation of neurotransmitter receptor activity (GO:0099601)', 'negative regulation of systemic arterial blood pressure (GO:0003085)', 'regulation of glutamate receptor signaling pathway (GO:1900449)', 'retrograde transport, vesicle recycling within Golgi (GO:0000301)', 'regulation of sodium ion transport (GO:0002028)', 'ATP hydrolysis coupled proton transport (GO:0015991)', 'melanocyte differentiation (GO:0030318)', 'chromatin assembly or disassembly (GO:0006333)'}"
216895:"{'regulation of cell aging (GO:0090342)', 'negative regulation of cell aging (GO:0090344)', 'positive regulation of protein localization to centrosome (GO:1904781)', 'negative regulation of cellular senescence (GO:2000773)', 'cellular senescence (GO:0090398)', 'regulation of cellular response to stress (GO:0080135)', 'positive regulation of cholesterol transport (GO:0032376)', 'negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)', 'positive regulation of phospholipid transport (GO:2001140)', 'fatty acid homeostasis (GO:0055089)', 'positive regulation of cholesterol efflux (GO:0010875)', 'regulation of protein localization to centrosome (GO:1904779)', 'regulation of cytoplasmic transport (GO:1903649)', 'stress-induced premature senescence (GO:0090400)', 'positive regulation of response to stimulus (GO:0048584)', 'positive regulation of cellular senescence (GO:2000774)', 'cellular response to catecholamine stimulus (GO:0071870)', 'regulation of cellular senescence (GO:2000772)', 'high-density lipoprotein particle assembly (GO:0034380)', 'positive regulation of cell aging (GO:0090343)', 'negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle (GO:0031658)', 'regulation of erythrocyte differentiation (GO:0045646)', 'regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)', 'positive regulation of erythrocyte differentiation (GO:0045648)', 'telomere maintenance via recombination (GO:0000722)', 'regulation of stress-activated protein kinase signaling cascade (GO:0070302)', 'regulation of microtubule nucleation (GO:0010968)', 'negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)', 'positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895)', 'replicative senescence (GO:0090399)'}"
34302:"{'lysosomal lumen acidification (GO:0007042)', 'regulation of response to DNA damage stimulus (GO:2001020)', 'cofactor transport (GO:0051181)', 'regulation of endocytic recycling (GO:2001135)', 'regulation of protein deubiquitination (GO:0090085)', 'regulation of microglial cell activation (GO:1903978)', 'monoubiquitinated protein deubiquitination (GO:0035520)', 'lipoprotein catabolic process (GO:0042159)', 'protein K63-linked ubiquitination (GO:0070534)', 'regulation of protein tyrosine kinase activity (GO:0061097)', 'regulation of NAD(P)H oxidase activity (GO:0033860)', 'G2/M transition of mitotic cell cycle (GO:0000086)', 'regulation of DNA repair (GO:0006282)', 'positive regulation of activation of Janus kinase activity (GO:0010536)', 'cell cycle G2/M phase transition (GO:0044839)', 'positive regulation of microglial cell activation (GO:1903980)', 'regulation of retinoic acid receptor signaling pathway (GO:0048385)', 'photoreceptor cell differentiation (GO:0046530)', 'acetyl-CoA biosynthetic process (GO:0006085)', 'neuron remodeling (GO:0016322)', 'iron ion import across plasma membrane (GO:0098711)', 'regulation of activation of Janus kinase activity (GO:0010533)', 'astrocyte activation (GO:0048143)', 'regulation of extent of cell growth (GO:0061387)', 'regulation of developmental growth (GO:0048638)', 'regulation of mitotic spindle checkpoint (GO:1903504)', 'neuron projection maintenance (GO:1990535)', 'regulation of pinocytosis (GO:0048548)', 'regulation of extracellular matrix organization (GO:1903053)', 'regulation of renal sodium excretion (GO:0035813)'}"
845:"{'ventricular cardiac muscle cell action potential (GO:0086005)', 'cardiac muscle cell action potential (GO:0086001)', 'detection of chemical stimulus involved in sensory perception of smell (GO:0050911)', 'sodium ion transmembrane transport (GO:0035725)', 'cardiac muscle cell action potential involved in contraction (GO:0086002)', 'action potential (GO:0001508)', 'membrane repolarization during cardiac muscle cell action potential (GO:0086013)', 'negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)', 'regulation of ventricular cardiac muscle cell membrane repolarization (GO:0060307)', 'cardiac muscle cell contraction (GO:0086003)', 'positive regulation of cellular extravasation (GO:0002693)', 'hepaticobiliary system development (GO:0061008)', 'granzyme-mediated apoptotic signaling pathway (GO:0008626)', 'viral genome replication (GO:0019079)', 'membrane repolarization during action potential (GO:0086011)', 'membrane depolarization (GO:0051899)', 'determination of liver left/right asymmetry (GO:0071910)', 'lipoxin biosynthetic process (GO:2001301)', 'regulation of leukocyte activation (GO:0002694)', 'negative regulation of transcription factor import into nucleus (GO:0042992)', 'regulation of cardiac muscle cell membrane repolarization (GO:0099623)', 'positive regulation of action potential (GO:0045760)', 'membrane repolarization (GO:0086009)', 'corticosteroid receptor signaling pathway (GO:0031958)', 'positive regulation of muscle contraction (GO:0045933)', 'regulation of smooth muscle contraction (GO:0006940)', 'positive regulation of smooth muscle contraction (GO:0045987)', 'membrane depolarization during action potential (GO:0086010)', 'negative regulation of protein binding (GO:0032091)', 'cellular response to amyloid-beta (GO:1904646)'}"
34549:"{'regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901407)', 'long term synaptic depression (GO:0060292)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'response to organophosphorus (GO:0046683)', 'galactosylceramide metabolic process (GO:0006681)', 'cellular modified amino acid biosynthetic process (GO:0042398)', 'citrate metabolic process (GO:0006101)', 'alpha-beta T cell activation (GO:0046631)', 'daunorubicin metabolic process (GO:0044597)', 'progesterone metabolic process (GO:0042448)', 'regulation of leukocyte migration (GO:0002685)', 'pyrimidine-containing compound biosynthetic process (GO:0072528)', 'prostaglandin metabolic process (GO:0006693)', 'intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)', 'glycolipid biosynthetic process (GO:0009247)', 'positive regulation of cyclin-dependent protein kinase activity (GO:1904031)', 'positive regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901409)', 'aminoglycoside antibiotic metabolic process (GO:0030647)', 'doxorubicin metabolic process (GO:0044598)', 'glycoside metabolic process (GO:0016137)', 'ribosomal small subunit export from nucleus (GO:0000056)', 'snRNA transcription from RNA polymerase III promoter (GO:0042796)', 'cardiolipin acyl-chain remodeling (GO:0035965)', 'protein geranylgeranylation (GO:0018344)', 'C21-steroid hormone metabolic process (GO:0008207)', 'GDP-mannose metabolic process (GO:0019673)', 'prostanoid metabolic process (GO:0006692)', 'quinone metabolic process (GO:1901661)', 'positive regulation of mitochondrial membrane potential (GO:0010918)', 'immunological synapse formation (GO:0001771)'}"
611:"{'ganglioside biosynthetic process (GO:0001574)', 'spermidine metabolic process (GO:0008216)', 'fatty acid alpha-oxidation (GO:0001561)', 'pinocytosis (GO:0006907)', 'regulation of secretion by cell (GO:1903530)', 'telencephalon cell migration (GO:0022029)', 'spermine metabolic process (GO:0008215)', 'dorsal/ventral axis specification (GO:0009950)', 'cerebral cortex cell migration (GO:0021795)', 'regulation of exocytosis (GO:0017157)', 'regulation of angiotensin levels in blood (GO:0002002)', 'regulation of fibrinolysis (GO:0051917)', 'protein N-linked glycosylation (GO:0006487)', 'epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)', 'dolichyl diphosphate metabolic process (GO:0046465)', 'DNA damage induced protein phosphorylation (GO:0006975)', 'protein glycosylation (GO:0006486)', 'dolichyl diphosphate biosynthetic process (GO:0006489)', 'negative regulation of fibrinolysis (GO:0051918)', 'polyamine biosynthetic process (GO:0006596)', 'peripheral nervous system neuron development (GO:0048935)', 'embryonic axis specification (GO:0000578)', 'protein import into peroxisome matrix (GO:0016558)', 'regulation of cell-cell adhesion mediated by cadherin (GO:2000047)', 'positive regulation of transforming growth factor beta production (GO:0071636)', 'phospholipid scrambling (GO:0017121)', 'glycoprotein biosynthetic process (GO:0009101)', 'oligosaccharide metabolic process (GO:0009311)', 'angiotensin maturation (GO:0002003)', 'polyamine metabolic process (GO:0006595)'}"
34518:"{'mannose metabolic process (GO:0006013)', 'response to misfolded protein (GO:0051788)', 'positive regulation of protein homooligomerization (GO:0032464)', 'positive regulation of nucleobase-containing compound transport (GO:0032241)', 'homocysteine metabolic process (GO:0050667)', ""regulation of mRNA 3'-end processing (GO:0031440)"", 'negative regulation of circadian rhythm (GO:0042754)', 'regulation of amyloid-beta clearance (GO:1900221)', 'chaperone-mediated protein transport (GO:0072321)', 'short-chain fatty acid catabolic process (GO:0019626)', 'positive regulation of mitotic sister chromatid separation (GO:1901970)', 'quaternary ammonium group transport (GO:0015697)', 'spinal cord dorsal/ventral patterning (GO:0021513)', 'amyloid precursor protein catabolic process (GO:0042987)', 'positive regulation of RNA export from nucleus (GO:0046833)', 'positive regulation of mitotic metaphase/anaphase transition (GO:0045842)', 'regulation of amyloid fibril formation (GO:1905906)', 'amino-acid betaine transport (GO:0015838)', 'negative regulation of protein homooligomerization (GO:0032463)', 'myelin maintenance (GO:0043217)', ""positive regulation of mRNA 3'-end processing (GO:0031442)"", 'central nervous system myelination (GO:0022010)', 'short-chain fatty acid metabolic process (GO:0046459)', 'microglial cell activation (GO:0001774)', 'negative regulation of amyloid-beta formation (GO:1902430)', 'peptidyl-lysine dimethylation (GO:0018027)', 'protein deglycosylation (GO:0006517)', 'carnitine transport (GO:0015879)', 'positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)', 'positive regulation of amyloid-beta formation (GO:1902004)'}"
271950:"{'positive regulation of telomerase activity (GO:0051973)', 'negative regulation of stress-activated MAPK cascade (GO:0032873)', 'regulation of chromosome organization (GO:0033044)', 'branching morphogenesis of an epithelial tube (GO:0048754)', 'regulation of response to DNA damage stimulus (GO:2001020)', 'regulation of fibroblast proliferation (GO:0048145)', 'energy reserve metabolic process (GO:0006112)', 'regulation of monocyte differentiation (GO:0045655)', 'branching involved in ureteric bud morphogenesis (GO:0001658)', 'regulation of telomerase activity (GO:0051972)', 'positive regulation of fibroblast proliferation (GO:0048146)', 'ureteric bud morphogenesis (GO:0060675)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'regulation of mesenchymal cell proliferation (GO:0010464)', 'protein-DNA complex disassembly (GO:0032986)', 'negative regulation of fibroblast proliferation (GO:0048147)', 'positive regulation of mesenchymal cell proliferation (GO:0002053)', 'ERK1 and ERK2 cascade (GO:0070371)', 'beta-catenin-TCF complex assembly (GO:1904837)', 'regulation of stress-activated MAPK cascade (GO:0032872)', 'response to growth factor (GO:0070848)', 'negative regulation of cell division (GO:0051782)', 'regulation of DNA biosynthetic process (GO:2000278)', 'oxygen transport (GO:0015671)', 'response to gamma radiation (GO:0010332)', 'negative regulation of myeloid leukocyte differentiation (GO:0002762)', 'positive regulation of metanephros development (GO:0072216)', 'regulation of telomere maintenance (GO:0032204)', 'gas transport (GO:0015669)', 'cellular response to drug (GO:0035690)'}"
1072:"{'positive regulation of myelination (GO:0031643)', 'single strand break repair (GO:0000012)', 'regulation of microvillus organization (GO:0032530)', 'inositol metabolic process (GO:0006020)', 'monoubiquitinated protein deubiquitination (GO:0035520)', 'mast cell activation involved in immune response (GO:0002279)', 'response to hydroperoxide (GO:0033194)', 'mast cell degranulation (GO:0043303)', 'iron ion import (GO:0097286)', 'polyol transport (GO:0015791)', 'positive regulation of membrane potential (GO:0045838)', 'exocyst localization (GO:0051601)', 'negative regulation of peptidase activity (GO:0010466)', 'positive regulation of lamellipodium assembly (GO:0010592)', 'protein lipoylation (GO:0009249)', 'histone-serine phosphorylation (GO:0035404)', 'regulation of endopeptidase activity (GO:0052548)', 'histone phosphorylation (GO:0016572)', 'peptidyl-lysine monomethylation (GO:0018026)', 'protein K48-linked deubiquitination (GO:0071108)', 'iron ion import across plasma membrane (GO:0098711)', 'positive regulation of neurological system process (GO:0031646)', 'RNA splicing, via transesterification reactions (GO:0000375)', 'negative regulation of mRNA polyadenylation (GO:1900364)', 'melanocyte differentiation (GO:0030318)', 'regulation of protein ADP-ribosylation (GO:0010835)', 'regulation of superoxide metabolic process (GO:0090322)', 'response to magnesium ion (GO:0032026)', 'cellular response to magnesium ion (GO:0071286)', 'equilibrioception (GO:0050957)'}"
